iter	Passed	Remaining
480	697	753
481	698	750
482	699	748
483	700	747
484	703	747
485	707	748
486	709	747
487	710	745
488	711	743
489	712	741
490	713	739
491	714	737
492	715	735
493	716	733
494	719	733
495	721	733
496	722	731
497	725	731
498	726	729
499	727	727
500	729	726
501	730	724
502	731	722
503	733	721
504	736	721
505	737	720
506	740	719
507	741	718
508	742	716
509	744	714
510	744	712
511	745	710
512	746	708
513	751	710
514	752	708
515	754	707
516	755	705
517	757	704
518	758	702
519	758	700
520	759	698
521	760	696
522	761	694
523	763	693
524	766	693
525	768	692
526	770	691
527	771	689
528	772	688
529	774	686
530	775	684
531	776	682
532	777	680
533	782	683
534	786	683
535	787	681
536	788	679
537	789	678
538	790	676
539	791	674
540	792	672
541	794	671
542	799	672
543	800	671
544	802	669
545	803	668
546	804	666
547	805	664
548	806	662
549	806	660
550	807	658
551	813	659
552	814	658
553	817	657
554	818	656
555	819	654
556	820	652
557	821	650
558	822	648
559	824	647
560	827	647
561	829	646
562	831	645
563	832	643
564	833	641
565	834	639
566	835	637
567	836	635
568	836	633
569	837	631
570	839	630
571	843	631
572	846	630
573	847	629
574	849	627
575	849	625
576	850	623
577	852	622
578	854	621
579	857	621
580	859	619
581	862	619
582	864	618
583	866	617
584	867	615
585	873	617
586	875	615
587	876	614
588	878	612
589	879	610
590	883	611
591	885	610
592	887	609
593	889	607
594	892	607
595	894	606
596	895	604
597	897	603
598	899	602
599	903	602
600	904	600
601	905	598
602	907	597
603	908	595
604	910	594
605	911	592
606	911	590
607	912	588
608	916	588
609	919	588
610	921	586
611	923	585
612	924	583
613	925	581
614	926	580
615	927	578
616	929	577
617	932	576
618	934	575
619	936	574
620	938	572
621	939	570
622	940	568
623	940	566
624	941	564
625	942	562
626	943	561
627	946	560
628	948	559
629	950	558
630	953	557
631	954	555
632	955	553
633	955	551
634	956	549
635	957	547
636	958	545
637	958	543
638	961	543
639	963	542
640	966	541
641	967	539
642	968	537
643	969	536
644	970	534
645	971	532
646	972	530
647	973	528
648	973	526
649	976	525
650	979	524
651	982	524
652	983	522
653	984	520
654	985	519
655	986	517
656	987	515
657	988	513
658	988	511
659	992	511
660	993	509
661	996	508
662	997	506
663	998	505
664	999	503
665	1000	501
666	1000	499
667	1001	497
668	1002	496
669	1003	494
670	1007	493
671	1009	492
672	1010	491
673	1011	489
674	1013	487
675	1014	486
676	1014	484
677	1015	482
678	1016	480
679	1017	478
680	1023	479
681	1025	478
682	1026	476
683	1028	474
684	1029	473
685	1029	471
686	1030	469
687	1031	467
688	1032	465
689	1035	465
690	1039	464
691	1041	463
692	1042	461
693	1045	461
694	1050	460
695	1057	462
696	1059	460
697	1060	459
698	1062	457
699	1065	456
700	1068	455
701	1070	454
702	1084	458
703	1086	456
704	1088	455
705	1089	453
706	1090	452
707	1091	450
708	1093	448
709	1094	447
710	1098	446
711	1100	445
712	1101	443
713	1102	441
714	1103	439
715	1105	438
716	1106	436
717	1107	434
718	1110	434
719	1114	433
720	1116	432
721	1118	430
722	1121	429
723	1122	427
724	1124	426
725	1127	425
726	1129	424
727	1132	422
728	1133	421
729	1134	419
730	1135	417
731	1136	416
732	1138	414
733	1144	414
734	1151	415
735	1152	413
736	1153	411
737	1161	412
738	1163	410
739	1164	409
740	1165	407
741	1167	406
742	1169	404
743	1172	403
744	1174	401
745	1177	400
746	1178	399
747	1179	397
748	1181	395
749	1182	394
750	1186	393
751	1189	392
752	1193	391
753	1195	389
754	1196	388
755	1204	388
756	1206	387
757	1209	386
758	1211	384
759	1213	383
760	1215	381
761	1216	380
762	1220	379
763	1222	377
764	1224	376
765	1226	374
766	1227	372
767	1230	371
768	1233	370
769	1235	369
770	1237	367
771	1238	365
772	1239	364
773	1241	362
774	1243	360
775	1247	360
776	1249	358
777	1252	357
778	1254	355
779	1255	354
780	1257	352
781	1258	350
782	1259	348
783	1260	347
784	1263	346
785	1264	344
786	1268	343
787	1269	341
788	1271	339
789	1272	338
790	1273	336
791	1277	335
792	1279	334
793	1282	332
794	1283	330
795	1284	329
796	1285	327
797	1286	325
798	1288	324
799	1289	322
800	1302	323
801	1303	321
802	1304	320
803	1307	318
804	1309	317
805	1310	315
806	1311	313
807	1312	311
808	1313	310
809	1316	308
810	1318	307
811	1320	305
812	1321	304
813	1325	302
814	1327	301
815	1328	299
816	1330	297
817	1331	296
818	1332	294
819	1334	292
820	1335	291
821	1337	289
822	1339	288
823	1341	286
824	1342	284
825	1343	283
826	1344	281
827	1346	279
828	1347	277
829	1349	276
830	1358	276
831	1360	274
832	1361	272
833	1362	271
834	1362	269
835	1364	267
836	1369	266
837	1370	264
838	1373	263
839	1374	261
840	1375	260
841	1376	258
842	1377	256
843	1378	254
844	1384	254
845	1385	252
846	1387	250
847	1388	248
848	1389	247
849	1390	245
850	1390	243
851	1391	241
852	1392	239
853	1393	238
854	1394	236
855	1398	235
856	1400	233
857	1403	232
858	1404	230
859	1407	229
860	1408	227
861	1409	225
862	1412	224
863	1415	222
864	1417	221
865	1419	219
866	1420	217
867	1421	216
868	1422	214
869	1423	212
870	1424	211
871	1425	209
872	1428	207
873	1430	206
874	1432	204
875	1433	202
876	1434	201
877	1434	199
878	1436	197
879	1437	195
880	1437	194
881	1438	192
882	1439	190
883	1441	189
884	1444	187
885	1446	186
886	1449	184
887	1451	183
888	1452	181
889	1453	179
890	1454	177
891	1455	176
892	1458	174
893	1460	173
894	1461	171
895	1463	169
896	1464	168
897	1465	166
898	1466	164
899	1467	163
900	1468	161
901	1469	159
902	1472	158
903	1474	156
904	1477	155
905	1478	153
906	1478	151
907	1479	149
908	1480	148
909	1481	146
910	1482	144
911	1483	143
912	1484	141
913	1487	139
914	1489	138
915	1491	136
916	1492	135
917	1493	133
918	1494	131
919	1495	130
920	1496	128
921	1497	126
922	1498	124
923	1501	123
924	1503	121
925	1505	120
926	1507	118
927	1508	117
928	1509	115
929	1511	113
930	1512	112
931	1513	110
932	1520	109
933	1521	107
934	1523	105
935	1525	104
936	1525	102
937	1527	100
938	1530	99
939	1534	97
940	1536	96
941	1537	94
942	1538	93
943	1540	91
944	1541	89
945	1548	88
946	1552	86
947	1553	85
948	1554	83
949	1556	81
950	1557	80
951	1558	78
952	1563	77
953	1564	75
954	1565	73
955	1568	72
956	1569	70
957	1570	68
958	1572	67
959	1574	65
960	1576	63
961	1579	62
962	1580	60
963	1581	59
964	1583	57
965	1584	55
966	1585	54
967	1591	52
968	1594	51
969	1595	49
970	1598	47
971	1600	46
972	1610	44
973	1611	43
974	1613	41
975	1615	39
976	1617	38
977	1619	36
978	1621	34
979	1622	33
980	1624	31
981	1626	29
982	1627	28
983	1628	26
984	1629	24
985	1629	23
986	1630	21
987	1631	19
988	1633	18
989	1635	16
990	1636	14
991	1638	13
992	1639	11
993	1640	9
994	1641	8
995	1642	6
996	1643	4
997	1644	3
998	1645	1
999	1646	0
